Industry,Date,Unemployment,Vacancy,Hires,Tightness
Durable goods manufacturing,2014-12-01,368.0,191.0,161.0,0.5190217391304348
Durable goods manufacturing,2015-01-01,480.0,199.0,153.0,0.41458333333333336
Durable goods manufacturing,2015-02-01,456.0,194.0,157.0,0.42543859649122806
Durable goods manufacturing,2015-03-01,469.0,197.0,156.0,0.4200426439232409
Durable goods manufacturing,2015-04-01,381.0,200.0,150.0,0.5249343832020997
Durable goods manufacturing,2015-05-01,405.0,193.0,147.0,0.4765432098765432
Durable goods manufacturing,2015-06-01,353.0,176.0,154.0,0.4985835694050991
Durable goods manufacturing,2015-07-01,408.0,198.0,160.0,0.4852941176470588
Durable goods manufacturing,2015-08-01,426.0,191.0,168.0,0.44835680751173707
Durable goods manufacturing,2015-09-01,386.0,185.0,175.0,0.4792746113989637
Durable goods manufacturing,2015-10-01,409.0,182.0,154.0,0.4449877750611247
Durable goods manufacturing,2015-11-01,384.0,173.0,150.0,0.4505208333333333
Durable goods manufacturing,2015-12-01,364.0,185.0,158.0,0.5082417582417582
Durable goods manufacturing,2016-01-01,426.0,177.0,166.0,0.4154929577464789
Durable goods manufacturing,2016-02-01,454.0,170.0,172.0,0.3744493392070485
Durable goods manufacturing,2016-03-01,398.0,175.0,152.0,0.4396984924623116
Durable goods manufacturing,2016-04-01,403.0,195.0,161.0,0.4838709677419355
Durable goods manufacturing,2016-05-01,466.0,185.0,155.0,0.3969957081545064
Durable goods manufacturing,2016-06-01,374.0,197.0,156.0,0.5267379679144385
Durable goods manufacturing,2016-07-01,461.0,198.0,165.0,0.42950108459869846
Durable goods manufacturing,2016-08-01,415.0,184.0,142.0,0.4433734939759036
Durable goods manufacturing,2016-09-01,410.0,187.0,157.0,0.4560975609756098
Durable goods manufacturing,2016-10-01,432.0,184.0,163.0,0.42592592592592593
Durable goods manufacturing,2016-11-01,341.0,195.0,164.0,0.5718475073313783
Durable goods manufacturing,2016-12-01,366.0,202.0,172.0,0.5519125683060109
Durable goods manufacturing,2017-01-01,431.0,212.0,172.0,0.4918793503480278
Durable goods manufacturing,2017-02-01,443.0,202.0,153.0,0.45598194130925507
Durable goods manufacturing,2017-03-01,420.0,226.0,175.0,0.5380952380952381
Durable goods manufacturing,2017-04-01,389.0,201.0,167.0,0.5167095115681234
Durable goods manufacturing,2017-05-01,327.0,196.0,185.0,0.599388379204893
Durable goods manufacturing,2017-06-01,336.0,218.0,197.0,0.6488095238095238
Durable goods manufacturing,2017-07-01,399.0,180.0,185.0,0.45112781954887216
Durable goods manufacturing,2017-08-01,371.0,242.0,218.0,0.6522911051212938
Durable goods manufacturing,2017-09-01,365.0,274.0,190.0,0.7506849315068493
Durable goods manufacturing,2017-10-01,314.0,255.0,195.0,0.8121019108280255
Durable goods manufacturing,2017-11-01,236.0,260.0,197.0,1.1016949152542372
Durable goods manufacturing,2017-12-01,289.0,246.0,209.0,0.8512110726643599
Durable goods manufacturing,2018-01-01,318.0,267.0,214.0,0.839622641509434
Durable goods manufacturing,2018-02-01,339.0,275.0,214.0,0.8112094395280236
Durable goods manufacturing,2018-03-01,304.0,247.0,215.0,0.8125
Durable goods manufacturing,2018-04-01,308.0,276.0,209.0,0.8961038961038961
Durable goods manufacturing,2018-05-01,340.0,296.0,210.0,0.8705882352941177
Durable goods manufacturing,2018-06-01,268.0,290.0,206.0,1.0820895522388059
Durable goods manufacturing,2018-07-01,339.0,280.0,217.0,0.8259587020648967
Durable goods manufacturing,2018-08-01,254.0,292.0,203.0,1.1496062992125984
Durable goods manufacturing,2018-09-01,305.0,304.0,189.0,0.9967213114754099
Durable goods manufacturing,2018-10-01,260.0,313.0,238.0,1.2038461538461538
Durable goods manufacturing,2018-11-01,273.0,319.0,206.0,1.1684981684981686
Durable goods manufacturing,2018-12-01,231.0,310.0,189.0,1.341991341991342
Durable goods manufacturing,2019-01-01,334.0,287.0,189.0,0.8592814371257484
Durable goods manufacturing,2019-02-01,270.0,285.0,188.0,1.0555555555555556
Durable goods manufacturing,2019-03-01,254.0,286.0,186.0,1.125984251968504
Durable goods manufacturing,2019-04-01,265.0,285.0,199.0,1.0754716981132075
Durable goods manufacturing,2019-05-01,215.0,288.0,187.0,1.3395348837209302
Durable goods manufacturing,2019-06-01,285.0,281.0,180.0,0.9859649122807017
Durable goods manufacturing,2019-07-01,295.0,278.0,183.0,0.9423728813559322
Durable goods manufacturing,2019-08-01,282.0,285.0,188.0,1.0106382978723405
Durable goods manufacturing,2019-09-01,266.0,263.0,193.0,0.9887218045112782
Durable goods manufacturing,2019-10-01,286.0,252.0,176.0,0.8811188811188811
Durable goods manufacturing,2019-11-01,290.0,271.0,214.0,0.9344827586206896
Durable goods manufacturing,2019-12-01,246.0,217.0,197.0,0.8821138211382114
Durable goods manufacturing,2020-01-01,317.0,253.0,182.0,0.7981072555205048
Durable goods manufacturing,2020-02-01,359.0,245.0,218.0,0.6824512534818942
Durable goods manufacturing,2020-03-01,336.0,151.0,170.0,0.4494047619047619
Durable goods manufacturing,2020-04-01,1416.0,159.0,202.0,0.11228813559322035
Durable goods manufacturing,2020-05-01,1243.0,186.0,372.0,0.14963797264682221
Durable goods manufacturing,2020-06-01,872.0,178.0,263.0,0.20412844036697247
Durable goods manufacturing,2020-07-01,796.0,219.0,192.0,0.2751256281407035
Durable goods manufacturing,2020-08-01,610.0,237.0,220.0,0.3885245901639344
Durable goods manufacturing,2020-09-01,531.0,262.0,223.0,0.4934086629001883
Durable goods manufacturing,2020-10-01,436.0,290.0,228.0,0.6651376146788991
Durable goods manufacturing,2020-11-01,400.0,237.0,235.0,0.5925
Durable goods manufacturing,2020-12-01,337.0,294.0,249.0,0.8724035608308606
Durable goods manufacturing,2021-01-01,396.0,302.0,204.0,0.7626262626262627
Durable goods manufacturing,2021-02-01,423.0,313.0,225.0,0.7399527186761229
Durable goods manufacturing,2021-03-01,427.0,379.0,257.0,0.8875878220140515
Durable goods manufacturing,2021-04-01,505.0,472.0,203.0,0.9346534653465347
Durable goods manufacturing,2021-05-01,467.0,502.0,230.0,1.0749464668094217
Durable goods manufacturing,2021-06-01,533.0,496.0,249.0,0.9305816135084428
Durable goods manufacturing,2021-07-01,355.0,548.0,262.0,1.5436619718309859
Durable goods manufacturing,2021-08-01,309.0,484.0,263.0,1.5663430420711975
Durable goods manufacturing,2021-09-01,370.0,562.0,274.0,1.518918918918919
Durable goods manufacturing,2021-10-01,279.0,547.0,281.0,1.960573476702509
Durable goods manufacturing,2021-11-01,296.0,502.0,260.0,1.695945945945946
Durable goods manufacturing,2021-12-01,282.0,477.0,257.0,1.6914893617021276
Durable goods manufacturing,2022-01-01,305.0,556.0,263.0,1.8229508196721311
