BEA_sector,date,v,u,e,U_monthly
Government,2008-09-01,449,553,22577.0,8266
Health care and social assistance,2008-09-01,526,574,15866.7,8266
Information,2008-09-01,64,157,2962.0,8266
Mining,2008-09-01,17,30,784.0,8266
Nondurable goods,2008-09-01,85,309,4902.0,8266
"Other services, except government",2008-09-01,126,362,5512.0,8266
Professional and business services,2008-09-01,576,993,17631.0,8266
Real estate and rental and leasing,2008-09-01,60,112,2117.8,8266
Retail trade,2008-09-01,280,1084,15165.1,8266
Transportation and warehousing,2008-09-01,99,364,4473.3,8266
Wholesale trade,2008-09-01,98,216,5914.6,8266
Accommodation and food services,2008-03-01,485,802,11544.4,6618
"Arts, entertainment, and recreation",2008-03-01,63,145,1994.8,6618
Construction,2008-03-01,94,930,7402.0,6618
Durable goods,2008-03-01,149,480,8644.0,6618
Educational services,2008-03-01,59,158,3001.1,6618
Finance and insurance,2008-03-01,186,203,6057.5,6618
Government,2008-03-01,402,482,22446.0,6618
Health care and social assistance,2008-03-01,706,490,15689.7,6618
Information,2008-03-01,85,160,3021.0,6618
Mining,2008-03-01,16,26,755.0,6618
Nondurable goods,2008-03-01,102,306,5012.0,6618
"Other services, except government",2008-03-01,152,300,5540.0,6618
Professional and business services,2008-03-01,794,808,17953.0,6618
Real estate and rental and leasing,2008-03-01,80,100,2149.5,6618
Retail trade,2008-03-01,399,870,15505.5,6618
Transportation and warehousing,2008-03-01,128,241,4553.3,6618
Wholesale trade,2008-03-01,122,117,6015.4,6618
Accommodation and food services,2008-01-01,545,867,11546.9,6537
"Arts, entertainment, and recreation",2008-01-01,56,187,1992.9,6537
Construction,2008-01-01,135,865,7472.0,6537
Durable goods,2008-01-01,197,439,8697.0,6537
Educational services,2008-01-01,63,147,2985.2,6537
Finance and insurance,2008-01-01,276,237,6063.4,6537
Government,2008-01-01,423,474,22386.0,6537
Health care and social assistance,2008-01-01,700,438,15617.0,6537
Information,2008-01-01,88,160,3023.0,6537
Mining,2008-01-01,16,23,746.0,6537
Nondurable goods,2008-01-01,127,365,5031.0,6537
"Other services, except government",2008-01-01,169,254,5520.0,6537
Professional and business services,2008-01-01,773,786,18046.0,6537
Real estate and rental and leasing,2008-01-01,128,60,2154.9,6537
Retail trade,2008-01-01,366,883,15572.6,6537
Transportation and warehousing,2008-01-01,158,234,4551.4,6537
Wholesale trade,2008-01-01,204,118,6034.1,6537
Accommodation and food services,2008-04-01,442,767,11528.1,6508
"Arts, entertainment, and recreation",2008-04-01,57,147,1989.3,6508
Construction,2008-04-01,92,1017,7337.0,6508
Durable goods,2008-04-01,158,497,8599.0,6508
Educational services,2008-04-01,61,113,3016.3,6508
Finance and insurance,2008-04-01,134,223,6052.6,6508
Government,2008-04-01,354,469,22447.0,6508
Health care and social assistance,2008-04-01,601,470,15732.4,6508
Information,2008-04-01,78,145,3012.0,6508
Mining,2008-04-01,18,27,755.0,6508
Nondurable goods,2008-04-01,112,270,5001.0,6508
"Other services, except government",2008-04-01,193,276,5539.0,6508
Professional and business services,2008-04-01,717,790,17956.0,6508
Real estate and rental and leasing,2008-04-01,55,104,2142.9,6508
Retail trade,2008-04-01,351,808,15437.4,6508
Transportation and warehousing,2008-04-01,118,236,4558.9,6508
Wholesale trade,2008-04-01,117,149,5994.4,6508
Accommodation and food services,2009-11-01,212,1223,11082.4,13117
"Arts, entertainment, and recreation",2009-11-01,24,317,1899.3,13117
Construction,2009-11-01,64,1904,5691.0,13117
Durable goods,2009-11-01,64,1276,7000.0,13117
Educational services,2009-11-01,37,286,3097.4,13117
Finance and insurance,2009-11-01,112,433,5721.9,13117
Government,2009-11-01,350,821,22513.0,13117
Health care and social assistance,2009-11-01,466,957,16223.3,13117
Information,2009-11-01,35,259,2752.0,13117
Mining,2009-11-01,7,99,663.0,13117
Nondurable goods,2009-11-01,70,673,4484.0,13117
"Other services, except government",2009-11-01,105,475,5321.0,13117
Professional and business services,2009-11-01,378,1668,16456.0,13117
Real estate and rental and leasing,2009-11-01,38,211,1966.7,13117
Retail trade,2009-11-01,217,1676,14367.2,13117
Transportation and warehousing,2009-11-01,50,559,4166.3,13117
Wholesale trade,2009-11-01,61,280,5487.2,13117
Accommodation and food services,2009-01-01,192,1110,11274.2,10476
"Arts, entertainment, and recreation",2009-01-01,29,219,1947.5,10476
Construction,2009-01-01,34,1408,6556.0,10476
Durable goods,2009-01-01,47,1123,7833.0,10476
Educational services,2009-01-01,62,177,3100.0,10476
Finance and insurance,2009-01-01,118,398,5885.8,10476
Government,2009-01-01,372,655,22582.0,10476
Health care and social assistance,2009-01-01,479,631,15974.2,10476
Information,2009-01-01,57,221,2886.0,10476
Mining,2009-01-01,13,52,763.0,10476
Nondurable goods,2009-01-01,57,523,4726.0,10476
"Other services, except government",2009-01-01,132,413,5428.0,10476
Professional and business services,2009-01-01,498,1283,17076.0,10476
Real estate and rental and leasing,2009-01-01,34,185,2060.2,10476
Retail trade,2009-01-01,321,1366,14780.1,10476
Transportation and warehousing,2009-01-01,68,453,4364.3,10476
Wholesale trade,2009-01-01,57,259,5763.2,10476
Accommodation and food services,2009-09-01,269,1330,11119.8,13195
"Arts, entertainment, and recreation",2009-09-01,22,277,1927.0,13195
Construction,2009-09-01,67,1902,5778.0,13195
Durable goods,2009-09-01,67,1348,7074.0,13195
Educational services,2009-09-01,41,320,3085.1,13195
Finance and insurance,2009-09-01,110,457,5728.3,13195
Government,2009-09-01,308,894,22505.0,13195
Health care and social assistance,2009-09-01,475,856,16166.0,13195
Information,2009-09-01,61,341,2768.0,13195
Mining,2009-09-01,7,87,669.0,13195
Nondurable goods,2009-09-01,58,622,4505.0,13195
"Other services, except government",2009-09-01,91,448,5352.0,13195
Professional and business services,2009-09-01,411,1660,16383.0,13195
Real estate and rental and leasing,2009-09-01,66,238,1974.4,13195
Retail trade,2009-09-01,278,1541,14430.8,13195
Transportation and warehousing,2009-09-01,50,581,4180.1,13195
Wholesale trade,2009-09-01,63,293,5520.6,13195
Accommodation and food services,2009-04-01,257,1120,11160.4,12124
"Arts, entertainment, and recreation",2009-04-01,23,271,1909.0,12124
Construction,2009-04-01,21,1669,6155.0,12124
Durable goods,2009-04-01,47,1256,7434.0,12124
Educational services,2009-04-01,48,287,3073.2,12124
Finance and insurance,2009-04-01,99,361,5794.8,12124
Government,2009-04-01,366,726,22681.0,12124
Health care and social assistance,2009-04-01,422,766,16018.8,12124
Information,2009-04-01,37,327,2834.0,12124
Mining,2009-04-01,8,116,710.0,12124
Nondurable goods,2009-04-01,48,644,4606.0,12124
"Other services, except government",2009-04-01,104,445,5371.0,12124
Professional and business services,2009-04-01,414,1529,16613.0,12124
Real estate and rental and leasing,2009-04-01,28,196,2005.3,12124
Retail trade,2009-04-01,188,1628,14565.1,12124
Transportation and warehousing,2009-04-01,56,524,4261.6,12124
Wholesale trade,2009-04-01,58,259,5628.3,12124
Accommodation and food services,2009-08-01,180,1379,11150.8,12975
"Arts, entertainment, and recreation",2009-08-01,24,299,1903.8,12975
Construction,2009-08-01,58,1900,5846.0,12975
Durable goods,2009-08-01,59,1338,7112.0,12975
Educational services,2009-08-01,64,285,3097.6,12975
Finance and insurance,2009-08-01,90,392,5738.9,12975
Government,2009-08-01,301,861,22528.0,12975
Health care and social assistance,2009-08-01,465,805,16138.5,12975
Information,2009-08-01,41,346,2769.0,12975
Mining,2009-08-01,5,93,670.0,12975
Nondurable goods,2009-08-01,63,624,4516.0,12975
"Other services, except government",2009-08-01,101,496,5360.0,12975
Professional and business services,2009-08-01,350,1599,16389.0,12975
Real estate and rental and leasing,2009-08-01,35,168,1976.5,12975
Retail trade,2009-08-01,236,1548,14478.4,12975
Transportation and warehousing,2009-08-01,72,569,4192.6,12975
Wholesale trade,2009-08-01,81,273,5536.8,12975
Accommodation and food services,2009-10-01,212,1387,11091.5,13431
"Arts, entertainment, and recreation",2009-10-01,24,304,1904.8,13431
Construction,2009-10-01,59,1991,5721.0,13431
Durable goods,2009-10-01,62,1353,7035.0,13431
Educational services,2009-10-01,34,311,3089.2,13431
Finance and insurance,2009-10-01,92,427,5721.8,13431
Government,2009-10-01,409,841,22534.0,13431
Health care and social assistance,2009-10-01,464,953,16192.0,13431
Information,2009-10-01,62,280,2766.0,13431
Mining,2009-10-01,6,97,661.0,13431
Nondurable goods,2009-10-01,57,631,4493.0,13431
"Other services, except government",2009-10-01,106,539,5330.0,13431
Professional and business services,2009-10-01,376,1527,16390.0,13431
Real estate and rental and leasing,2009-10-01,46,245,1967.2,13431
Retail trade,2009-10-01,211,1722,14383.7,13431
Transportation and warehousing,2009-10-01,45,544,4165.3,13431
Wholesale trade,2009-10-01,68,279,5501.1,13431
Accommodation and food services,2009-06-01,253,1305,11190.4,12963
"Arts, entertainment, and recreation",2009-06-01,15,323,1893.9,12963
Construction,2009-06-01,51,1851,6003.0,12963
Durable goods,2009-06-01,49,1400,7183.0,12963
Educational services,2009-06-01,64,301,3094.6,12963
Finance and insurance,2009-06-01,106,351,5767.6,12963
Government,2009-06-01,320,825,22557.0,12963
Health care and social assistance,2009-06-01,459,856,16079.3,12963
Information,2009-06-01,41,335,2795.0,12963
Mining,2009-06-01,5,90,686.0,12963
Nondurable goods,2009-06-01,52,667,4545.0,12963
"Other services, except government",2009-06-01,133,543,5374.0,12963
Professional and business services,2009-06-01,378,1610,16444.0,12963
Real estate and rental and leasing,2009-06-01,31,153,1984.2,12963
Retail trade,2009-06-01,272,1560,14533.2,12963
Transportation and warehousing,2009-06-01,66,507,4222.8,12963
Wholesale trade,2009-06-01,75,286,5579.5,12963
Accommodation and food services,2009-05-01,247,1278,11196.0,12671
"Arts, entertainment, and recreation",2009-05-01,20,305,1912.4,12671
Construction,2009-05-01,38,1872,6099.0,12671
Durable goods,2009-05-01,51,1318,7294.0,12671
Educational services,2009-05-01,43,248,3079.3,12671
Finance and insurance,2009-05-01,130,329,5784.2,12671
Government,2009-05-01,303,820,22621.0,12671
Health care and social assistance,2009-05-01,465,818,16061.2,12671
Information,2009-05-01,41,292,2809.0,12671
Mining,2009-05-01,10,113,694.0,12671
Nondurable goods,2009-05-01,43,667,4574.0,12671
"Other services, except government",2009-05-01,112,496,5368.0,12671
Professional and business services,2009-05-01,394,1517,16552.0,12671
Real estate and rental and leasing,2009-05-01,32,206,1992.6,12671
Retail trade,2009-05-01,329,1586,14551.9,12671
Transportation and warehousing,2009-05-01,67,528,4243.0,12671
Wholesale trade,2009-05-01,67,278,5603.3,12671
Accommodation and food services,2009-12-01,196,1351,11043.1,13141
"Arts, entertainment, and recreation",2009-12-01,17,312,1889.1,13141
Construction,2009-12-01,70,1877,5647.0,13141
Durable goods,2009-12-01,78,1267,6984.0,13141
Educational services,2009-12-01,49,305,3104.3,13141
Finance and insurance,2009-12-01,98,470,5722.1,13141
Government,2009-12-01,379,913,22485.0,13141
Health care and social assistance,2009-12-01,469,968,16247.4,13141
Information,2009-12-01,66,282,2742.0,13141
Mining,2009-12-01,6,83,662.0,13141
Nondurable goods,2009-12-01,81,496,4472.0,13141
"Other services, except government",2009-12-01,116,550,5319.0,13141
Professional and business services,2009-12-01,384,1519,16482.0,13141
Real estate and rental and leasing,2009-12-01,33,212,1959.4,13141
Retail trade,2009-12-01,219,1656,14348.0,13141
Transportation and warehousing,2009-12-01,45,579,4185.5,13141
Wholesale trade,2009-12-01,77,301,5472.2,13141
Accommodation and food services,2009-03-01,253,1231,11198.1,11702
"Arts, entertainment, and recreation",2009-03-01,24,257,1934.2,11702
Construction,2009-03-01,48,1594,6293.0,11702
Durable goods,2009-03-01,59,1222,7581.0,11702
Educational services,2009-03-01,31,250,3080.1,11702
Finance and insurance,2009-03-01,120,375,5828.7,11702
Government,2009-03-01,351,684,22568.0,11702
Health care and social assistance,2009-03-01,468,749,16007.3,11702
Information,2009-03-01,55,256,2864.0,11702
Mining,2009-03-01,9,94,727.0,11702
Nondurable goods,2009-03-01,60,572,4632.0,11702
"Other services, except government",2009-03-01,146,402,5385.0,11702
Professional and business services,2009-03-01,421,1460,16763.0,11702
Real estate and rental and leasing,2009-03-01,42,219,2022.7,11702
Retail trade,2009-03-01,259,1579,14615.5,11702
Transportation and warehousing,2009-03-01,66,502,4306.7,11702
Wholesale trade,2009-03-01,75,256,5672.2,11702
Accommodation and food services,2009-07-01,213,1282,11172.5,12922
"Arts, entertainment, and recreation",2009-07-01,13,293,1899.0,12922
Construction,2009-07-01,42,1998,5925.0,12922
Durable goods,2009-07-01,50,1351,7151.0,12922
Educational services,2009-07-01,42,282,3086.4,12922
Finance and insurance,2009-07-01,91,397,5757.6,12922
Government,2009-07-01,316,834,22544.0,12922
Health care and social assistance,2009-07-01,479,845,16109.0,12922
Information,2009-07-01,39,352,2780.0,12922
Mining,2009-07-01,3,95,678.0,12922
Nondurable goods,2009-07-01,44,649,4523.0,12922
"Other services, except government",2009-07-01,87,495,5369.0,12922
Professional and business services,2009-07-01,383,1594,16415.0,12922
Real estate and rental and leasing,2009-07-01,32,191,1982.6,12922
Retail trade,2009-07-01,178,1466,14492.2,12922
Transportation and warehousing,2009-07-01,46,487,4195.5,12922
Wholesale trade,2009-07-01,62,311,5553.9,12922
Accommodation and food services,2009-02-01,275,1196,11243.2,11146
"Arts, entertainment, and recreation",2009-02-01,22,195,1944.9,11146
Construction,2009-02-01,68,1558,6455.0,11146
Durable goods,2009-02-01,68,1130,7708.0,11146
Educational services,2009-02-01,49,200,3093.4,11146
Finance and insurance,2009-02-01,134,367,5852.0,11146
Government,2009-02-01,368,647,22577.0,11146
Health care and social assistance,2009-02-01,489,703,15997.0,11146
Information,2009-02-01,66,226,2874.0,11146
Mining,2009-02-01,8,63,747.0,11146
Nondurable goods,2009-02-01,67,576,4680.0,11146
"Other services, except government",2009-02-01,154,422,5412.0,11146
Professional and business services,2009-02-01,498,1382,16893.0,11146
Real estate and rental and leasing,2009-02-01,49,222,2040.9,11146
Retail trade,2009-02-01,311,1470,14701.9,11146
Transportation and warehousing,2009-02-01,42,494,4340.6,11146
Wholesale trade,2009-02-01,75,295,5714.0,11146
Accommodation and food services,2010-09-01,248,1345,11169.7,12684
"Arts, entertainment, and recreation",2010-09-01,33,326,1933.3,12684
Construction,2010-09-01,70,1739,5514.0,12684
Durable goods,2010-09-01,124,985,7095.0,12684
Educational services,2010-09-01,51,296,3145.1,12684
Finance and insurance,2010-09-01,185,423,5686.7,12684
Government,2010-09-01,326,1049,22274.0,12684
Health care and social assistance,2010-09-01,453,970,16485.5,12684
Information,2010-09-01,61,310,2701.0,12684
Mining,2010-09-01,15,75,725.0,12684
Nondurable goods,2010-09-01,59,554,4450.0,12684
"Other services, except government",2010-09-01,124,519,5389.0,12684
Professional and business services,2010-09-01,538,1473,16719.0,12684
Real estate and rental and leasing,2010-09-01,28,183,1928.9,12684
Retail trade,2010-09-01,236,1716,14430.3,12684
Transportation and warehousing,2010-09-01,91,450,4192.4,12684
Wholesale trade,2010-09-01,86,271,5456.0,12684
Accommodation and food services,2010-07-01,282,1285,11088.6,12557
"Arts, entertainment, and recreation",2010-07-01,38,257,1924.1,12557
Construction,2010-07-01,95,1812,5500.0,12557
Durable goods,2010-07-01,146,1014,7114.0,12557
Educational services,2010-07-01,54,278,3154.9,12557
Finance and insurance,2010-07-01,184,423,5686.7,12557
Government,2010-07-01,354,875,22581.0,12557
Health care and social assistance,2010-07-01,444,1005,16416.3,12557
Information,2010-07-01,97,315,2706.0,12557
Mining,2010-07-01,12,80,711.0,12557
Nondurable goods,2010-07-01,63,561,4466.0,12557
"Other services, except government",2010-07-01,152,479,5362.0,12557
Professional and business services,2010-07-01,517,1516,16681.0,12557
Real estate and rental and leasing,2010-07-01,25,184,1931.7,12557
Retail trade,2010-07-01,254,1681,14419.3,12557
Transportation and warehousing,2010-07-01,64,518,4184.8,12557
Wholesale trade,2010-07-01,85,274,5453.8,12557
Accommodation and food services,2010-08-01,307,1274,11125.3,12606
"Arts, entertainment, and recreation",2010-08-01,37,279,1925.2,12606
Construction,2010-08-01,52,1812,5520.0,12606
Durable goods,2010-08-01,118,1015,7092.0,12606
Educational services,2010-08-01,49,280,3160.3,12606
Finance and insurance,2010-08-01,180,402,5684.0,12606
Government,2010-08-01,331,991,22412.0,12606
Health care and social assistance,2010-08-01,433,985,16451.2,12606
Information,2010-08-01,105,295,2711.0,12606
Mining,2010-08-01,15,93,719.0,12606
Nondurable goods,2010-08-01,54,522,4459.0,12606
"Other services, except government",2010-08-01,144,503,5369.0,12606
Professional and business services,2010-08-01,618,1553,16711.0,12606
Real estate and rental and leasing,2010-08-01,46,203,1931.5,12606
Retail trade,2010-08-01,242,1679,14412.6,12606
Transportation and warehousing,2010-08-01,83,452,4184.1,12606
Wholesale trade,2010-08-01,81,268,5454.5,12606
Accommodation and food services,2010-11-01,231,1313,11162.0,13000
"Arts, entertainment, and recreation",2010-11-01,28,340,1895.0,13000
Construction,2010-11-01,96,1706,5504.0,13000
Durable goods,2010-11-01,152,1047,7113.0,13000
Educational services,2010-11-01,58,294,3176.9,13000
Finance and insurance,2010-11-01,194,426,5685.3,13000
Government,2010-11-01,343,1043,22267.0,13000
Health care and social assistance,2010-11-01,470,1090,16555.3,13000
Information,2010-11-01,85,289,2699.0,13000
Mining,2010-11-01,20,67,735.0,13000
Nondurable goods,2010-11-01,60,549,4441.0,13000
"Other services, except government",2010-11-01,142,536,5416.0,13000
Professional and business services,2010-11-01,650,1670,16844.0,13000
Real estate and rental and leasing,2010-11-01,34,184,1930.6,13000
Retail trade,2010-11-01,254,1665,14441.0,13000
Transportation and warehousing,2010-11-01,76,489,4218.3,13000
Wholesale trade,2010-11-01,105,292,5475.7,13000
Accommodation and food services,2010-04-01,233,1428,11090.4,13134
"Arts, entertainment, and recreation",2010-04-01,26,297,1908.0,13134
Construction,2010-04-01,80,1850,5566.0,13134
Durable goods,2010-04-01,111,1082,7039.0,13134
Educational services,2010-04-01,55,256,3135.2,13134
Finance and insurance,2010-04-01,175,493,5695.7,13134
Government,2010-04-01,590,977,22570.0,13134
Health care and social assistance,2010-04-01,459,889,16346.3,13134
Information,2010-04-01,81,308,2716.0,13134
Mining,2010-04-01,15,62,687.0,13134
Nondurable goods,2010-04-01,67,552,4470.0,13134
"Other services, except government",2010-04-01,204,569,5343.0,13134
Professional and business services,2010-04-01,475,1651,16615.0,13134
Real estate and rental and leasing,2010-04-01,33,201,1952.2,13134
Retail trade,2010-04-01,254,1692,14424.3,13134
Transportation and warehousing,2010-04-01,73,513,4156.3,13134
Wholesale trade,2010-04-01,85,314,5445.9,13134
Accommodation and food services,2010-10-01,253,1248,11172.4,12531
"Arts, entertainment, and recreation",2010-10-01,27,284,1899.8,12531
Construction,2010-10-01,67,1637,5512.0,12531
Durable goods,2010-10-01,140,1005,7097.0,12531
Educational services,2010-10-01,65,299,3170.1,12531
Finance and insurance,2010-10-01,204,439,5685.6,12531
Government,2010-10-01,353,1024,22302.0,12531
Health care and social assistance,2010-10-01,526,937,16524.4,12531
Information,2010-10-01,62,324,2697.0,12531
Mining,2010-10-01,22,95,734.0,12531
Nondurable goods,2010-10-01,55,549,4442.0,12531
"Other services, except government",2010-10-01,125,539,5418.0,12531
Professional and business services,2010-10-01,590,1562,16759.0,12531
Real estate and rental and leasing,2010-10-01,29,171,1931.7,12531
Retail trade,2010-10-01,273,1682,14456.6,12531
Transportation and warehousing,2010-10-01,90,459,4196.2,12531
Wholesale trade,2010-10-01,83,277,5467.4,12531
Accommodation and food services,2010-01-01,214,1289,11045.0,12978
"Arts, entertainment, and recreation",2010-01-01,14,317,1885.5,12978
Construction,2010-01-01,66,1803,5585.0,12978
Durable goods,2010-01-01,72,1281,6999.0,12978
Educational services,2010-01-01,27,270,3111.1,12978
Finance and insurance,2010-01-01,112,429,5711.8,12978
Government,2010-01-01,387,947,22488.0,12978
Health care and social assistance,2010-01-01,484,932,16259.8,12978
Information,2010-01-01,98,305,2737.0,12978
Mining,2010-01-01,7,62,667.0,12978
Nondurable goods,2010-01-01,55,563,4466.0,12978
"Other services, except government",2010-01-01,170,585,5322.0,12978
Professional and business services,2010-01-01,383,1444,16513.0,12978
Real estate and rental and leasing,2010-01-01,32,198,1954.3,12978
Retail trade,2010-01-01,221,1663,14383.1,12978
Transportation and warehousing,2010-01-01,35,575,4146.0,12978
Wholesale trade,2010-01-01,60,315,5450.9,12978
Accommodation and food services,2010-05-01,228,1302,11095.3,12701
"Arts, entertainment, and recreation",2010-05-01,41,273,1899.8,12701
Construction,2010-05-01,71,1844,5529.0,12701
Durable goods,2010-05-01,122,1025,7065.0,12701
Educational services,2010-05-01,71,277,3138.2,12701
Finance and insurance,2010-05-01,168,444,5694.4,12701
Government,2010-05-01,376,901,22980.0,12701
Health care and social assistance,2010-05-01,438,941,16369.7,12701
Information,2010-05-01,76,308,2715.0,12701
Mining,2010-05-01,16,55,698.0,12701
Nondurable goods,2010-05-01,68,533,4471.0,12701
"Other services, except government",2010-05-01,116,516,5348.0,12701
Professional and business services,2010-05-01,589,1614,16640.0,12701
Real estate and rental and leasing,2010-05-01,35,171,1945.9,12701
Retail trade,2010-05-01,261,1714,14421.0,12701
Transportation and warehousing,2010-05-01,60,480,4165.3,12701
Wholesale trade,2010-05-01,89,303,5444.6,12701
Accommodation and food services,2010-06-01,230,1267,11097.5,12494
"Arts, entertainment, and recreation",2010-06-01,68,292,1920.9,12494
Construction,2010-06-01,74,2026,5511.0,12494
Durable goods,2010-06-01,131,1007,7079.0,12494
Educational services,2010-06-01,51,253,3147.0,12494
Finance and insurance,2010-06-01,167,435,5689.4,12494
Government,2010-06-01,298,802,22723.0,12494
Health care and social assistance,2010-06-01,432,993,16388.1,12494
Information,2010-06-01,54,275,2701.0,12494
Mining,2010-06-01,16,61,704.0,12494
Nondurable goods,2010-06-01,68,545,4469.0,12494
"Other services, except government",2010-06-01,124,517,5343.0,12494
Professional and business services,2010-06-01,473,1504,16683.0,12494
Real estate and rental and leasing,2010-06-01,39,192,1938.9,12494
Retail trade,2010-06-01,247,1596,14408.5,12494
Transportation and warehousing,2010-06-01,72,446,4175.8,12494
Wholesale trade,2010-06-01,78,283,5450.7,12494
Accommodation and food services,2010-02-01,215,1251,11038.0,13088
"Arts, entertainment, and recreation",2010-02-01,21,249,1894.1,13088
Construction,2010-02-01,63,1888,5533.0,13088
Durable goods,2010-02-01,95,1188,6994.0,13088
Educational services,2010-02-01,62,280,3118.9,13088
Finance and insurance,2010-02-01,110,498,5705.6,13088
Government,2010-02-01,366,1011,22474.0,13088
Health care and social assistance,2010-02-01,451,986,16280.5,13088
Information,2010-02-01,74,311,2731.0,13088
Mining,2010-02-01,10,84,672.0,13088
Nondurable goods,2010-02-01,60,521,4468.0,13088
"Other services, except government",2010-02-01,164,557,5317.0,13088
Professional and business services,2010-02-01,387,1600,16544.0,13088
Real estate and rental and leasing,2010-02-01,32,162,1951.7,13088
Retail trade,2010-02-01,266,1699,14383.5,13088
Transportation and warehousing,2010-02-01,59,521,4143.2,13088
Wholesale trade,2010-02-01,54,282,5443.1,13088
Accommodation and food services,2010-03-01,209,1298,11066.6,13194
"Arts, entertainment, and recreation",2010-03-01,28,275,1896.0,13194
Construction,2010-03-01,93,1839,5550.0,13194
Durable goods,2010-03-01,100,1195,7010.0,13194
Educational services,2010-03-01,69,276,3131.1,13194
Finance and insurance,2010-03-01,131,489,5698.0,13194
Government,2010-03-01,428,1012,22522.0,13194
Health care and social assistance,2010-03-01,448,905,16323.8,13194
Information,2010-03-01,62,323,2718.0,13194
Mining,2010-03-01,10,64,680.0,13194
Nondurable goods,2010-03-01,58,575,4461.0,13194
"Other services, except government",2010-03-01,143,555,5331.0,13194
Professional and business services,2010-03-01,420,1628,16546.0,13194
Real estate and rental and leasing,2010-03-01,15,178,1944.6,13194
Retail trade,2010-03-01,307,1759,14408.4,13194
Transportation and warehousing,2010-03-01,59,508,4151.5,13194
Wholesale trade,2010-03-01,72,315,5444.6,13194
Accommodation and food services,2010-12-01,242,1329,11177.4,12313
"Arts, entertainment, and recreation",2010-12-01,45,286,1896.4,12313
Construction,2010-12-01,44,1605,5498.0,12313
Durable goods,2010-12-01,120,1011,7126.0,12313
Educational services,2010-12-01,48,278,3179.5,12313
Finance and insurance,2010-12-01,172,395,5681.5,12313
Government,2010-12-01,420,1088,22252.0,12313
Health care and social assistance,2010-12-01,472,936,16580.6,12313
Information,2010-12-01,80,267,2694.0,12313
Mining,2010-12-01,24,77,734.0,12313
Nondurable goods,2010-12-01,54,544,4439.0,12313
"Other services, except government",2010-12-01,117,526,5418.0,12313
Professional and business services,2010-12-01,601,1530,16902.0,12313
Real estate and rental and leasing,2010-12-01,25,180,1935.3,12313
Retail trade,2010-12-01,262,1544,14447.2,12313
Transportation and warehousing,2010-12-01,118,460,4268.4,12313
Wholesale trade,2010-12-01,80,257,5479.5,12313
Accommodation and food services,2011-11-01,370,1238,,11298
"Arts, entertainment, and recreation",2011-11-01,59,240,,11298
Construction,2011-11-01,74,1176,,11298
Durable goods,2011-11-01,174,792,,11298
Educational services,2011-11-01,58,298,,11298
Finance and insurance,2011-11-01,113,408,,11298
Government,2011-11-01,369,1059,,11298
Health care and social assistance,2011-11-01,548,908,,11298
Information,2011-11-01,93,244,,11298
Mining,2011-11-01,27,72,,11298
Nondurable goods,2011-11-01,62,440,,11298
"Other services, except government",2011-11-01,104,530,,11298
Professional and business services,2011-11-01,496,1469,,11298
Real estate and rental and leasing,2011-11-01,39,161,,11298
Retail trade,2011-11-01,309,1544,,11298
Transportation and warehousing,2011-11-01,119,475,,11298
Wholesale trade,2011-11-01,123,244,,11298
Accommodation and food services,2011-12-01,383,1149,,11229
"Arts, entertainment, and recreation",2011-12-01,46,273,,11229
Construction,2011-12-01,67,1223,,11229
Durable goods,2011-12-01,180,792,,11229
Educational services,2011-12-01,53,291,,11229
Finance and insurance,2011-12-01,163,350,,11229
Government,2011-12-01,392,1021,,11229
Health care and social assistance,2011-12-01,532,985,,11229
Information,2011-12-01,105,257,,11229
Mining,2011-12-01,38,55,,11229
Nondurable goods,2011-12-01,71,429,,11229
"Other services, except government",2011-12-01,135,540,,11229
Professional and business services,2011-12-01,642,1463,,11229
Real estate and rental and leasing,2011-12-01,27,166,,11229
Retail trade,2011-12-01,336,1563,,11229
Transportation and warehousing,2011-12-01,140,428,,11229
Wholesale trade,2011-12-01,108,244,,11229
Accommodation and food services,2011-05-01,261,1104,11289.7,11731
"Arts, entertainment, and recreation",2011-05-01,33,278,1885.4,11731
Construction,2011-05-01,94,1429,5529.0,11731
Durable goods,2011-05-01,142,921,7271.0,11731
Educational services,2011-05-01,52,301,3204.4,11731
Finance and insurance,2011-05-01,139,401,5676.7,11731
Government,2011-05-01,317,978,22105.0,11731
Health care and social assistance,2011-05-01,544,1017,16722.0,11731
Information,2011-05-01,97,219,2684.0,11731
Mining,2011-05-01,21,39,780.0,11731
Nondurable goods,2011-05-01,70,508,4439.0,11731
"Other services, except government",2011-05-01,117,554,5445.0,11731
Professional and business services,2011-05-01,634,1418,17155.0,11731
Real estate and rental and leasing,2011-05-01,46,211,1948.7,11731
Retail trade,2011-05-01,281,1607,14539.1,11731
Transportation and warehousing,2011-05-01,127,502,4264.4,11731
Wholesale trade,2011-05-01,79,244,5538.0,11731
Accommodation and food services,2011-08-01,317,1166,,11754
"Arts, entertainment, and recreation",2011-08-01,43,279,,11754
Construction,2011-08-01,101,1400,,11754
Durable goods,2011-08-01,156,902,,11754
Educational services,2011-08-01,60,285,,11754
Finance and insurance,2011-08-01,140,384,,11754
Government,2011-08-01,358,974,,11754
Health care and social assistance,2011-08-01,552,926,,11754
Information,2011-08-01,102,201,,11754
Mining,2011-08-01,27,53,,11754
Nondurable goods,2011-08-01,70,533,,11754
"Other services, except government",2011-08-01,83,556,,11754
