BEA_sector,date,v,u,U_monthly
Retail trade,2010-10-01,273,1682,12531
Transportation and warehousing,2010-10-01,90,459,12531
Wholesale trade,2010-10-01,83,277,12531
Accommodation and food services,2010-01-01,214,1289,12978
"Arts, entertainment, and recreation",2010-01-01,14,317,12978
Construction,2010-01-01,66,1803,12978
Durable goods,2010-01-01,72,1281,12978
Educational services,2010-01-01,27,270,12978
Finance and insurance,2010-01-01,112,429,12978
Government,2010-01-01,387,947,12978
Health care and social assistance,2010-01-01,484,932,12978
Information,2010-01-01,98,305,12978
Mining,2010-01-01,7,62,12978
Nondurable goods,2010-01-01,55,563,12978
"Other services, except government",2010-01-01,170,585,12978
Professional and business services,2010-01-01,383,1444,12978
Real estate and rental and leasing,2010-01-01,32,198,12978
Retail trade,2010-01-01,221,1663,12978
Transportation and warehousing,2010-01-01,35,575,12978
Wholesale trade,2010-01-01,60,315,12978
Accommodation and food services,2010-05-01,228,1302,12701
"Arts, entertainment, and recreation",2010-05-01,41,273,12701
Construction,2010-05-01,71,1844,12701
Durable goods,2010-05-01,122,1025,12701
Educational services,2010-05-01,71,277,12701
Finance and insurance,2010-05-01,168,444,12701
Government,2010-05-01,376,901,12701
Health care and social assistance,2010-05-01,438,941,12701
Information,2010-05-01,76,308,12701
Mining,2010-05-01,16,55,12701
Nondurable goods,2010-05-01,68,533,12701
"Other services, except government",2010-05-01,116,516,12701
Professional and business services,2010-05-01,589,1614,12701
Real estate and rental and leasing,2010-05-01,35,171,12701
Retail trade,2010-05-01,261,1714,12701
Transportation and warehousing,2010-05-01,60,480,12701
Wholesale trade,2010-05-01,89,303,12701
Accommodation and food services,2010-06-01,230,1267,12494
"Arts, entertainment, and recreation",2010-06-01,68,292,12494
Construction,2010-06-01,74,2026,12494
Durable goods,2010-06-01,131,1007,12494
Educational services,2010-06-01,51,253,12494
Finance and insurance,2010-06-01,167,435,12494
Government,2010-06-01,298,802,12494
Health care and social assistance,2010-06-01,432,993,12494
Information,2010-06-01,54,275,12494
Mining,2010-06-01,16,61,12494
Nondurable goods,2010-06-01,68,545,12494
"Other services, except government",2010-06-01,124,517,12494
Professional and business services,2010-06-01,473,1504,12494
Real estate and rental and leasing,2010-06-01,39,192,12494
Retail trade,2010-06-01,247,1596,12494
Transportation and warehousing,2010-06-01,72,446,12494
Wholesale trade,2010-06-01,78,283,12494
Accommodation and food services,2010-02-01,215,1251,13088
"Arts, entertainment, and recreation",2010-02-01,21,249,13088
Construction,2010-02-01,63,1888,13088
Durable goods,2010-02-01,95,1188,13088
Educational services,2010-02-01,62,280,13088
Finance and insurance,2010-02-01,110,498,13088
Government,2010-02-01,366,1011,13088
Health care and social assistance,2010-02-01,451,986,13088
Information,2010-02-01,74,311,13088
Mining,2010-02-01,10,84,13088
Nondurable goods,2010-02-01,60,521,13088
"Other services, except government",2010-02-01,164,557,13088
Professional and business services,2010-02-01,387,1600,13088
Real estate and rental and leasing,2010-02-01,32,162,13088
Retail trade,2010-02-01,266,1699,13088
Transportation and warehousing,2010-02-01,59,521,13088
Wholesale trade,2010-02-01,54,282,13088
Accommodation and food services,2010-03-01,209,1298,13194
"Arts, entertainment, and recreation",2010-03-01,28,275,13194
Construction,2010-03-01,93,1839,13194
Durable goods,2010-03-01,100,1195,13194
Educational services,2010-03-01,69,276,13194
Finance and insurance,2010-03-01,131,489,13194
Government,2010-03-01,428,1012,13194
Health care and social assistance,2010-03-01,448,905,13194
Information,2010-03-01,62,323,13194
Mining,2010-03-01,10,64,13194
Nondurable goods,2010-03-01,58,575,13194
"Other services, except government",2010-03-01,143,555,13194
Professional and business services,2010-03-01,420,1628,13194
Real estate and rental and leasing,2010-03-01,15,178,13194
Retail trade,2010-03-01,307,1759,13194
Transportation and warehousing,2010-03-01,59,508,13194
Wholesale trade,2010-03-01,72,315,13194
Accommodation and food services,2010-12-01,242,1329,12313
"Arts, entertainment, and recreation",2010-12-01,45,286,12313
Construction,2010-12-01,44,1605,12313
Durable goods,2010-12-01,120,1011,12313
Educational services,2010-12-01,48,278,12313
Finance and insurance,2010-12-01,172,395,12313
Government,2010-12-01,420,1088,12313
Health care and social assistance,2010-12-01,472,936,12313
Information,2010-12-01,80,267,12313
Mining,2010-12-01,24,77,12313
Nondurable goods,2010-12-01,54,544,12313
"Other services, except government",2010-12-01,117,526,12313
Professional and business services,2010-12-01,601,1530,12313
Real estate and rental and leasing,2010-12-01,25,180,12313
Retail trade,2010-12-01,262,1544,12313
Transportation and warehousing,2010-12-01,118,460,12313
Wholesale trade,2010-12-01,80,257,12313
Accommodation and food services,2011-11-01,370,1238,11298
"Arts, entertainment, and recreation",2011-11-01,59,240,11298
Construction,2011-11-01,74,1176,11298
Durable goods,2011-11-01,174,792,11298
Educational services,2011-11-01,58,298,11298
Finance and insurance,2011-11-01,113,408,11298
Government,2011-11-01,369,1059,11298
Health care and social assistance,2011-11-01,548,908,11298
Information,2011-11-01,93,244,11298
Mining,2011-11-01,27,72,11298
Nondurable goods,2011-11-01,62,440,11298
"Other services, except government",2011-11-01,104,530,11298
Professional and business services,2011-11-01,496,1469,11298
Real estate and rental and leasing,2011-11-01,39,161,11298
Retail trade,2011-11-01,309,1544,11298
Transportation and warehousing,2011-11-01,119,475,11298
Wholesale trade,2011-11-01,123,244,11298
Accommodation and food services,2011-12-01,383,1149,11229
"Arts, entertainment, and recreation",2011-12-01,46,273,11229
Construction,2011-12-01,67,1223,11229
Durable goods,2011-12-01,180,792,11229
Educational services,2011-12-01,53,291,11229
Finance and insurance,2011-12-01,163,350,11229
Government,2011-12-01,392,1021,11229
Health care and social assistance,2011-12-01,532,985,11229
Information,2011-12-01,105,257,11229
Mining,2011-12-01,38,55,11229
Nondurable goods,2011-12-01,71,429,11229
"Other services, except government",2011-12-01,135,540,11229
Professional and business services,2011-12-01,642,1463,11229
Real estate and rental and leasing,2011-12-01,27,166,11229
Retail trade,2011-12-01,336,1563,11229
Transportation and warehousing,2011-12-01,140,428,11229
Wholesale trade,2011-12-01,108,244,11229
Accommodation and food services,2011-05-01,261,1104,11731
"Arts, entertainment, and recreation",2011-05-01,33,278,11731
Construction,2011-05-01,94,1429,11731
Durable goods,2011-05-01,142,921,11731
Educational services,2011-05-01,52,301,11731
Finance and insurance,2011-05-01,139,401,11731
Government,2011-05-01,317,978,11731
Health care and social assistance,2011-05-01,544,1017,11731
Information,2011-05-01,97,219,11731
Mining,2011-05-01,21,39,11731
Nondurable goods,2011-05-01,70,508,11731
"Other services, except government",2011-05-01,117,554,11731
Professional and business services,2011-05-01,634,1418,11731
Real estate and rental and leasing,2011-05-01,46,211,11731
Retail trade,2011-05-01,281,1607,11731
Transportation and warehousing,2011-05-01,127,502,11731
Wholesale trade,2011-05-01,79,244,11731
Accommodation and food services,2011-08-01,317,1166,11754
"Arts, entertainment, and recreation",2011-08-01,43,279,11754
Construction,2011-08-01,101,1400,11754
Durable goods,2011-08-01,156,902,11754
Educational services,2011-08-01,60,285,11754
Finance and insurance,2011-08-01,140,384,11754
Government,2011-08-01,358,974,11754
Health care and social assistance,2011-08-01,552,926,11754
Information,2011-08-01,102,201,11754
Mining,2011-08-01,27,53,11754
Nondurable goods,2011-08-01,70,533,11754
"Other services, except government",2011-08-01,83,556,11754
Professional and business services,2011-08-01,618,1467,11754
Real estate and rental and leasing,2011-08-01,46,185,11754
Retail trade,2011-08-01,317,1618,11754
Transportation and warehousing,2011-08-01,95,546,11754
Wholesale trade,2011-08-01,65,279,11754
Accommodation and food services,2011-06-01,296,1190,11812
"Arts, entertainment, and recreation",2011-06-01,56,248,11812
Construction,2011-06-01,70,1484,11812
Durable goods,2011-06-01,150,951,11812
Educational services,2011-06-01,67,271,11812
Finance and insurance,2011-06-01,160,405,11812
Government,2011-06-01,329,1021,11812
Health care and social assistance,2011-06-01,534,863,11812
Information,2011-06-01,89,230,11812
Mining,2011-06-01,26,45,11812
Nondurable goods,2011-06-01,65,478,11812
"Other services, except government",2011-06-01,134,538,11812
Professional and business services,2011-06-01,632,1389,11812
Real estate and rental and leasing,2011-06-01,44,205,11812
Retail trade,2011-06-01,321,1700,11812
Transportation and warehousing,2011-06-01,93,523,11812
Wholesale trade,2011-06-01,88,271,11812
Accommodation and food services,2011-07-01,282,1239,11615
"Arts, entertainment, and recreation",2011-07-01,61,248,11615
Construction,2011-07-01,76,1345,11615
Durable goods,2011-07-01,172,921,11615
Educational services,2011-07-01,73,277,11615
Finance and insurance,2011-07-01,153,377,11615
Government,2011-07-01,329,995,11615
Health care and social assistance,2011-07-01,524,859,11615
Information,2011-07-01,105,213,11615
Mining,2011-07-01,29,54,11615
Nondurable goods,2011-07-01,77,512,11615
"Other services, except government",2011-07-01,134,570,11615
Professional and business services,2011-07-01,647,1463,11615
Real estate and rental and leasing,2011-07-01,48,205,11615
Retail trade,2011-07-01,307,1618,11615
Transportation and warehousing,2011-07-01,110,472,11615
Wholesale trade,2011-07-01,121,247,11615
Accommodation and food services,2011-02-01,327,1350,11833
"Arts, entertainment, and recreation",2011-02-01,48,322,11833
Construction,2011-02-01,53,1461,11833
Durable goods,2011-02-01,142,922,11833
Educational services,2011-02-01,61,318,11833
Finance and insurance,2011-02-01,166,405,11833
Government,2011-02-01,322,1062,11833
Health care and social assistance,2011-02-01,488,946,11833
Information,2011-02-01,84,217,11833
Mining,2011-02-01,25,45,11833
Nondurable goods,2011-02-01,66,491,11833
"Other services, except government",2011-02-01,121,503,11833
Professional and business services,2011-02-01,607,1354,11833
Real estate and rental and leasing,2011-02-01,40,188,11833
Retail trade,2011-02-01,232,1493,11833
Transportation and warehousing,2011-02-01,109,442,11833
Wholesale trade,2011-02-01,107,314,11833
Accommodation and food services,2011-03-01,297,1314,11762
"Arts, entertainment, and recreation",2011-03-01,42,381,11762
Construction,2011-03-01,62,1397,11762
Durable goods,2011-03-01,161,883,11762
Educational services,2011-03-01,49,305,11762
Finance and insurance,2011-03-01,159,405,11762
Government,2011-03-01,303,1020,11762
Health care and social assistance,2011-03-01,563,934,11762
Information,2011-03-01,100,235,11762
Mining,2011-03-01,34,41,11762
Nondurable goods,2011-03-01,74,491,11762
"Other services, except government",2011-03-01,122,532,11762
Professional and business services,2011-03-01,625,1351,11762
Real estate and rental and leasing,2011-03-01,30,196,11762
Retail trade,2011-03-01,265,1429,11762
Transportation and warehousing,2011-03-01,119,500,11762
Wholesale trade,2011-03-01,100,348,11762
Accommodation and food services,2011-10-01,332,1264,11539
"Arts, entertainment, and recreation",2011-10-01,46,259,11539
Construction,2011-10-01,85,1276,11539
Durable goods,2011-10-01,163,816,11539
Educational services,2011-10-01,62,277,11539
Finance and insurance,2011-10-01,160,377,11539
Government,2011-10-01,380,998,11539
Health care and social assistance,2011-10-01,548,911,11539
Information,2011-10-01,105,211,11539
Mining,2011-10-01,23,71,11539
Nondurable goods,2011-10-01,71,452,11539
"Other services, except government",2011-10-01,129,593,11539
Professional and business services,2011-10-01,586,1526,11539
Real estate and rental and leasing,2011-10-01,48,163,11539
Retail trade,2011-10-01,310,1570,11539
Transportation and warehousing,2011-10-01,102,524,11539
Wholesale trade,2011-10-01,145,251,11539
Accommodation and food services,2011-04-01,271,1268,11741
"Arts, entertainment, and recreation",2011-04-01,37,299,11741
Construction,2011-04-01,100,1454,11741
Durable goods,2011-04-01,165,937,11741
Educational services,2011-04-01,61,235,11741
Finance and insurance,2011-04-01,176,391,11741
Government,2011-04-01,288,996,11741
Health care and social assistance,2011-04-01,494,952,11741
Information,2011-04-01,105,221,11741
Mining,2011-04-01,20,25,11741
Nondurable goods,2011-04-01,71,463,11741
"Other services, except government",2011-04-01,104,621,11741
Professional and business services,2011-04-01,489,1385,11741
Real estate and rental and leasing,2011-04-01,49,213,11741
Retail trade,2011-04-01,323,1516,11741
Transportation and warehousing,2011-04-01,115,482,11741
Wholesale trade,2011-04-01,102,283,11741
Accommodation and food services,2011-01-01,259,1313,11933
"Arts, entertainment, and recreation",2011-01-01,40,281,11933
Construction,2011-01-01,64,1559,11933
Durable goods,2011-01-01,158,928,11933
Educational services,2011-01-01,56,308,11933
Finance and insurance,2011-01-01,186,435,11933
Government,2011-01-01,317,1084,11933
Health care and social assistance,2011-01-01,420,991,11933
Information,2011-01-01,78,225,11933
Mining,2011-01-01,28,63,11933
Nondurable goods,2011-01-01,73,527,11933
"Other services, except government",2011-01-01,119,491,11933
Professional and business services,2011-01-01,466,1360,11933
Real estate and rental and leasing,2011-01-01,33,207,11933
Retail trade,2011-01-01,264,1477,11933
Transportation and warehousing,2011-01-01,83,436,11933
Wholesale trade,2011-01-01,113,248,11933
Accommodation and food services,2011-09-01,332,1353,11776
"Arts, entertainment, and recreation",2011-09-01,59,263,11776
Construction,2011-09-01,68,1317,11776
Durable goods,2011-09-01,163,864,11776
Educational services,2011-09-01,74,250,11776
Finance and insurance,2011-09-01,139,384,11776
Government,2011-09-01,392,974,11776
Health care and social assistance,2011-09-01,546,912,11776
Information,2011-09-01,118,196,11776
Mining,2011-09-01,34,63,11776
Nondurable goods,2011-09-01,72,500,11776
"Other services, except government",2011-09-01,137,598,11776
Professional and business services,2011-09-01,664,1552,11776
Real estate and rental and leasing,2011-09-01,43,148,11776
Retail trade,2011-09-01,331,1667,11776
Transportation and warehousing,2011-09-01,105,494,11776
Wholesale trade,2011-09-01,133,241,11776
