BEA_sector,date,v,u,U_monthly
Real estate and rental and leasing,2002-11-01,37,105,7438
Retail trade,2002-11-01,299,1075,7438
Transportation and warehousing,2002-11-01,106,246,7438
Wholesale trade,2002-11-01,98,219,7438
Accommodation and food services,2002-04-01,353,801,7525
"Arts, entertainment, and recreation",2002-04-01,59,177,7525
Construction,2002-04-01,99,805,7525
Durable goods,2002-04-01,146,857,7525
Educational services,2002-04-01,52,106,7525
Finance and insurance,2002-04-01,184,188,7525
Government,2002-04-01,426,536,7525
Health care and social assistance,2002-04-01,657,423,7525
Information,2002-04-01,86,263,7525
Mining,2002-04-01,9,31,7525
Nondurable goods,2002-04-01,97,443,7525
"Other services, except government",2002-04-01,157,268,7525
Professional and business services,2002-04-01,534,1000,7525
Real estate and rental and leasing,2002-04-01,58,110,7525
Retail trade,2002-04-01,351,1016,7525
Transportation and warehousing,2002-04-01,108,284,7525
Wholesale trade,2002-04-01,107,217,7525
Accommodation and food services,2002-02-01,359,727,7302
"Arts, entertainment, and recreation",2002-02-01,65,160,7302
Construction,2002-02-01,107,751,7302
Durable goods,2002-02-01,146,835,7302
Educational services,2002-02-01,67,116,7302
Finance and insurance,2002-02-01,139,205,7302
Government,2002-02-01,451,574,7302
Health care and social assistance,2002-02-01,683,473,7302
Information,2002-02-01,98,269,7302
Mining,2002-02-01,16,31,7302
Nondurable goods,2002-02-01,114,387,7302
"Other services, except government",2002-02-01,147,305,7302
Professional and business services,2002-02-01,493,910,7302
Real estate and rental and leasing,2002-02-01,60,100,7302
Retail trade,2002-02-01,350,977,7302
Transportation and warehousing,2002-02-01,86,297,7302
Wholesale trade,2002-02-01,103,185,7302
Accommodation and food services,2003-12-01,405,817,7312
"Arts, entertainment, and recreation",2003-12-01,56,145,7312
Construction,2003-12-01,99,743,7312
Durable goods,2003-12-01,126,651,7312
Educational services,2003-12-01,41,159,7312
Finance and insurance,2003-12-01,168,213,7312
Government,2003-12-01,321,582,7312
Health care and social assistance,2003-12-01,484,527,7312
Information,2003-12-01,83,222,7312
Mining,2003-12-01,10,31,7312
Nondurable goods,2003-12-01,93,392,7312
"Other services, except government",2003-12-01,146,324,7312
Professional and business services,2003-12-01,616,933,7312
Real estate and rental and leasing,2003-12-01,35,105,7312
Retail trade,2003-12-01,346,978,7312
Transportation and warehousing,2003-12-01,91,286,7312
Wholesale trade,2003-12-01,169,204,7312
Accommodation and food services,2003-06-01,407,842,8109
"Arts, entertainment, and recreation",2003-06-01,72,126,8109
Construction,2003-06-01,114,875,8109
Durable goods,2003-06-01,109,826,8109
Educational services,2003-06-01,48,144,8109
Finance and insurance,2003-06-01,147,220,8109
Government,2003-06-01,429,596,8109
Health care and social assistance,2003-06-01,563,541,8109
Information,2003-06-01,68,253,8109
Mining,2003-06-01,6,31,8109
Nondurable goods,2003-06-01,85,444,8109
"Other services, except government",2003-06-01,139,350,8109
Professional and business services,2003-06-01,618,1092,8109
Real estate and rental and leasing,2003-06-01,45,104,8109
Retail trade,2003-06-01,334,1096,8109
Transportation and warehousing,2003-06-01,90,294,8109
Wholesale trade,2003-06-01,85,275,8109
Accommodation and food services,2003-02-01,287,871,7601
"Arts, entertainment, and recreation",2003-02-01,56,175,7601
Construction,2003-02-01,97,839,7601
Durable goods,2003-02-01,126,742,7601
Educational services,2003-02-01,39,133,7601
Finance and insurance,2003-02-01,145,223,7601
Government,2003-02-01,393,548,7601
Health care and social assistance,2003-02-01,571,455,7601
Information,2003-02-01,70,310,7601
Mining,2003-02-01,6,36,7601
Nondurable goods,2003-02-01,76,411,7601
"Other services, except government",2003-02-01,178,303,7601
Professional and business services,2003-02-01,770,1060,7601
Real estate and rental and leasing,2003-02-01,50,71,7601
Retail trade,2003-02-01,358,945,7601
