BEA_sector,date,v,u,U_monthly
Professional and business services,200311,614,968,7512
Real estate and rental and leasing,200311,39,113,7512
Retail trade,200311,384,972,7512
Transportation and warehousing,200311,77,295,7512
Wholesale trade,200311,124,237,7512
Accommodation and food services,200305,344,833,7929
"Arts, entertainment, and recreation",200305,34,144,7929
Construction,200305,93,851,7929
Durable goods,200305,111,815,7929
Educational services,200305,52,178,7929
Finance and insurance,200305,158,224,7929
Government,200305,338,548,7929
Health care and social assistance,200305,617,483,7929
Information,200305,50,254,7929
Mining,200305,7,43,7929
Nondurable goods,200305,91,390,7929
"Other services, except government",200305,140,366,7929
Professional and business services,200305,637,1138,7929
Real estate and rental and leasing,200305,36,93,7929
Retail trade,200305,308,1055,7929
Transportation and warehousing,200305,80,282,7929
Wholesale trade,200305,108,232,7929
Accommodation and food services,200307,289,868,7791
"Arts, entertainment, and recreation",200307,57,137,7791
Construction,200307,151,865,7791
Durable goods,200307,107,751,7791
Educational services,200307,52,133,7791
Finance and insurance,200307,156,176,7791
Government,200307,342,569,7791
Health care and social assistance,200307,524,488,7791
Information,200307,54,234,7791
Mining,200307,8,37,7791
Nondurable goods,200307,82,406,7791
"Other services, except government",200307,120,369,7791
Professional and business services,200307,709,1032,7791
Real estate and rental and leasing,200307,69,95,7791
Retail trade,200307,322,1100,7791
Transportation and warehousing,200307,89,291,7791
Wholesale trade,200307,110,240,7791
Accommodation and food services,200410,404,783,6844
"Arts, entertainment, and recreation",200410,47,126,6844
Construction,200410,159,774,6844
Durable goods,200410,184,551,6844
Educational services,200410,91,119,6844
Finance and insurance,200410,228,259,6844
Government,200410,425,592,6844
Health care and social assistance,200410,586,431,6844
Information,200410,106,188,6844
Mining,200410,9,18,6844
Nondurable goods,200410,105,378,6844
"Other services, except government",200410,169,310,6844
Professional and business services,200410,750,799,6844
Real estate and rental and leasing,200410,55,101,6844
Retail trade,200410,451,977,6844
Transportation and warehousing,200410,82,229,6844
Wholesale trade,200410,123,209,6844
Accommodation and food services,200406,417,880,7115
"Arts, entertainment, and recreation",200406,44,236,7115
Construction,200406,101,815,7115
Durable goods,200406,179,563,7115
Educational services,200406,34,129,7115
Finance and insurance,200406,170,193,7115
Government,200406,363,490,7115
Health care and social assistance,200406,495,565,7115
Information,200406,104,182,7115
Mining,200406,10,22,7115
Nondurable goods,200406,89,434,7115
"Other services, except government",200406,98,324,7115
Professional and business services,200406,729,818,7115
Real estate and rental and leasing,200406,38,112,7115
Retail trade,200406,401,959,7115
Transportation and warehousing,200406,88,223,7115
Wholesale trade,200406,147,170,7115
Accommodation and food services,200404,376,798,7108
"Arts, entertainment, and recreation",200404,39,160,7108
Construction,200404,138,814,7108
Durable goods,200404,173,600,7108
Educational services,200404,52,128,7108
Finance and insurance,200404,221,208,7108
Government,200404,372,525,7108
Health care and social assistance,200404,564,493,7108
Information,200404,93,170,7108
Mining,200404,9,35,7108
Nondurable goods,200404,92,385,7108
"Other services, except government",200404,139,353,7108
Professional and business services,200404,664,815,7108
Real estate and rental and leasing,200404,41,112,7108
Retail trade,200404,385,1056,7108
Transportation and warehousing,200404,92,235,7108
Wholesale trade,200404,130,221,7108
Accommodation and food services,200405,375,849,7071
"Arts, entertainment, and recreation",200405,64,143,7071
Construction,200405,136,779,7071
Durable goods,200405,179,594,7071
Educational services,200405,45,119,7071
Finance and insurance,200405,221,208,7071
Government,200405,394,536,7071
Health care and social assistance,200405,571,488,7071
Information,200405,114,193,7071
Mining,200405,10,24,7071
Nondurable goods,200405,110,409,7071
"Other services, except government",200405,168,327,7071
Professional and business services,200405,674,845,7071
Real estate and rental and leasing,200405,39,90,7071
Retail trade,200405,426,967,7071
Transportation and warehousing,200405,93,246,7071
Wholesale trade,200405,120,254,7071
Accommodation and food services,200411,369,794,6775
"Arts, entertainment, and recreation",200411,56,113,6775
Construction,200411,145,774,6775
Durable goods,200411,166,546,6775
Educational services,200411,53,114,6775
Finance and insurance,200411,207,204,6775
Government,200411,386,560,6775
Health care and social assistance,200411,575,474,6775
Information,200411,60,176,6775
Mining,200411,10,21,6775
Nondurable goods,200411,90,361,6775
"Other services, except government",200411,156,294,6775
Professional and business services,200411,594,908,6775
Real estate and rental and leasing,200411,46,98,6775
Retail trade,200411,323,916,6775
Transportation and warehousing,200411,94,237,6775
Wholesale trade,200411,138,185,6775
Accommodation and food services,200407,429,817,6880
"Arts, entertainment, and recreation",200407,45,134,6880
Construction,200407,116,765,6880
Durable goods,200407,171,611,6880
Educational services,200407,53,125,6880
Finance and insurance,200407,250,197,6880
Government,200407,382,559,6880
Health care and social assistance,200407,557,529,6880
Information,200407,103,186,6880
Mining,200407,10,23,6880
Nondurable goods,200407,106,378,6880
"Other services, except government",200407,195,319,6880
Professional and business services,200407,766,795,6880
Real estate and rental and leasing,200407,44,99,6880
Retail trade,200407,428,948,6880
Transportation and warehousing,200407,104,230,6880
Wholesale trade,200407,148,165,6880
Accommodation and food services,200412,396,799,6831
"Arts, entertainment, and recreation",200412,73,116,6831
Construction,200412,155,792,6831
Durable goods,200412,182,533,6831
Educational services,200412,62,136,6831
Finance and insurance,200412,251,236,6831
Government,200412,417,566,6831
Health care and social assistance,200412,579,479,6831
Information,200412,117,179,6831
Mining,200412,15,15,6831
Nondurable goods,200412,94,355,6831
"Other services, except government",200412,156,315,6831
Professional and business services,200412,704,850,6831
Real estate and rental and leasing,200412,50,86,6831
Retail trade,200412,414,955,6831
Transportation and warehousing,200412,91,224,6831
Wholesale trade,200412,164,195,6831
Accommodation and food services,200408,426,864,6829
"Arts, entertainment, and recreation",200408,77,173,6829
Construction,200408,129,685,6829
